;PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
3;4;0;1;male;46.0;1;0;61.175;S
7;8;0;1;male;71.0;0;0;34.6542;C
8;9;1;1;male;23.0;0;1;63.3583;C
13;14;0;1;male;21.0;0;1;77.2875;S
21;22;0;1;male;47.0;0;0;52.0;S
29;30;0;1;male;24.0;0;1;247.5208;C
34;35;1;2;female;32.5;0;0;13.0;S
35;36;0;1;male;54.0;0;1;77.2875;S
47;48;1;1;female;19.0;0;2;26.2833;S
48;49;0;1;male;37.0;1;0;53.1;S
50;51;0;1;male;24.0;0;0;79.2;C
59;60;0;2;male;36.5;0;2;26.0;S
62;63;1;1;female;22.0;1;0;66.6;S
81;82;0;1;male;61.0;0;0;33.5;S
85;86;0;1;male;56.0;0;0;30.6958;C
88;89;0;1;female;50.0;0;0;28.7125;C
94;95;1;2;male;1.0;2;1;39.0;S
104;105;1;2;male;3.0;1;1;26.0;S
105;106;1;1;female;44.0;0;0;27.7208;C
106;107;1;1;female;58.0;0;0;146.5208;C
116;117;0;3;female;2.0;0;1;10.4625;S
120;121;1;1;male;40.0;0;0;31.0;C
126;127;1;1;female;31.0;1;0;113.275;C
129;130;1;1;female;32.0;0;0;76.2917;C
135;136;1;1;male;38.0;1;0;90.0;S
141;142;1;1;female;35.0;1;0;83.475;S
156;157;0;1;male;44.0;2;0;90.0;Q
159;160;1;1;male;37.0;1;1;52.5542;S
162;163;0;3;female;29.0;1;1;10.4625;S
163;164;0;1;male;62.0;0;0;26.55;S
168;169;1;1;female;30.0;0;0;86.5;S
173;174;0;1;male;52.0;1;1;79.65;S
174;175;0;1;male;40.0;0;0;0.0;S
179;180;1;1;female;58.0;0;1;153.4625;S
180;181;1;1;female;35.0;0;0;135.6333;S
184;185;0;1;male;37.0;0;1;29.7;C
186;187;1;1;female;63.0;1;0;77.9583;S
202;203;1;1;female;19.0;1;0;91.0792;C
203;204;0;2;male;36.0;0;0;12.875;C
208;209;0;1;female;2.0;1;2;151.55;S
210;211;1;1;female;50.0;0;1;247.5208;C
216;217;1;1;male;0.92;1;2;151.55;S
218;219;1;1;female;17.0;1;0;108.9;C
220;221;1;1;female;30.0;0;0;56.9292;C
221;222;1;1;female;24.0;0;0;83.1583;C
222;223;1;1;female;18.0;2;2;262.375;C
229;230;1;1;female;31.0;0;2;164.8667;S
230;231;1;1;female;40.0;1;1;134.5;C
236;237;1;1;female;36.0;0;0;135.6333;C
238;239;1;2;female;36.0;0;0;13.0;S
240;241;1;1;female;16.0;0;1;57.9792;C
242;243;0;1;male;45.5;0;0;28.5;S
243;244;0;1;male;38.0;0;1;153.4625;S
247;248;0;1;male;29.0;1;0;66.6;S
248;249;1;1;female;41.0;0;0;134.5;C
250;251;0;1;male;45.0;0;0;35.5;S
251;252;1;2;male;2.0;1;1;26.0;S
252;253;1;1;female;24.0;3;2;263.0;S
256;257;1;2;female;24.0;0;0;13.0;S
267;268;1;1;female;22.0;0;1;55.0;S
277;278;1;1;female;60.0;1;0;75.25;C
280;281;1;1;female;24.0;0;0;69.3;C
281;282;1;1;male;25.0;1;0;55.4417;C
288;289;0;1;male;27.0;0;2;211.5;C
301;302;1;1;male;36.0;1;2;120.0;S
304;305;1;1;female;23.0;1;0;113.275;C
305;306;1;3;female;24.0;0;2;16.7;S
323;324;1;1;female;33.0;1;0;90.0;Q
340;341;1;3;male;32.0;0;0;8.05;S
341;342;1;1;male;28.0;0;0;26.55;S
345;346;0;1;male;50.0;1;0;55.9;S
346;347;1;1;female;14.0;1;2;120.0;S
349;350;0;1;male;64.0;1;4;263.0;S
356;357;1;1;male;4.0;0;2;81.8583;S
360;361;1;1;male;52.0;0;0;30.5;S
363;364;0;1;male;30.0;0;0;27.75;C
364;365;1;1;male;49.0;1;0;89.1042;C
367;368;0;1;male;65.0;0;0;26.55;S
371;372;1;1;male;48.0;0;0;26.55;S
373;374;0;1;male;47.0;0;0;38.5;S
384;385;1;2;female;23.0;0;0;13.7917;C
395;396;1;1;male;25.0;1;0;91.0792;C
397;398;1;1;female;35.0;1;0;90.0;S
398;399;0;1;male;58.0;0;0;29.7;C
403;404;0;1;male;55.0;0;0;30.5;S
407;408;1;1;female;54.0;1;0;78.2667;C
409;410;0;1;female;25.0;1;2;151.55;S
415;416;1;1;female;16.0;0;0;86.5;S
416;417;0;1;male;18.0;1;0;108.9;C
423;424;1;1;male;36.0;0;0;26.2875;S
426;427;0;1;male;47.0;0;0;34.0208;S
427;428;1;2;female;34.0;0;0;10.5;S
431;432;1;1;female;30.0;0;0;93.5;S
434;435;1;1;female;44.0;0;1;57.9792;C
447;448;0;1;male;45.0;0;0;26.55;S
450;451;1;1;female;22.0;0;2;49.5;C
451;452;1;1;female;36.0;0;2;71.0;S
455;456;0;1;male;50.0;1;0;106.425;C
461;462;1;1;male;17.0;0;2;110.8833;C
467;468;1;1;female;48.0;1;0;39.6;C
469;470;1;1;female;39.0;1;1;79.65;S
482;483;1;1;female;53.0;2;0;51.4792;S
483;484;1;1;male;36.0;0;0;26.3875;S
488;489;1;1;female;39.0;1;0;55.9;S
492;493;1;1;female;39.0;1;1;110.8833;C
494;495;0;1;male;36.0;0;0;40.125;C
496;497;1;1;female;18.0;0;2;79.65;S
498;499;1;1;male;60.0;1;1;79.2;C
502;503;1;1;female;52.0;1;0;78.2667;C
510;511;1;1;male;49.0;1;0;56.9292;C
520;521;1;1;female;40.0;0;0;153.4625;S
529;530;1;2;female;4.0;2;1;39.0;S
532;533;1;1;male;42.0;1;0;52.5542;S
536;537;0;1;male;61.0;0;0;32.3208;S
538;539;1;1;female;21.0;0;0;77.9583;S
541;542;1;1;male;80.0;0;0;30.0;S
543;544;1;1;male;32.0;0;0;30.5;C
552;553;1;1;female;24.0;0;0;69.3;C
556;557;1;1;male;48.0;1;0;76.7292;C
558;559;1;1;male;56.0;0;0;35.5;C
570;571;0;1;male;58.0;0;2;113.275;C
573;574;0;1;male;47.0;0;0;25.5875;S
582;583;0;1;male;31.0;1;0;52.0;S
590;591;1;1;male;36.0;0;1;512.3292;C
592;593;1;1;male;27.0;0;0;76.7292;C
600;601;1;1;female;15.0;0;1;211.3375;S
601;602;1;1;male;31.0;1;0;57.0;S
609;610;0;1;male;49.0;1;1;110.8833;C
610;611;0;3;male;42.0;0;0;7.65;S
611;612;1;1;female;18.0;1;0;227.525;C
612;613;1;1;male;35.0;0;0;26.2875;S
618;619;1;1;male;42.0;0;0;26.2875;S
621;622;1;1;female;24.0;0;0;49.5042;C
623;624;1;1;male;48.0;1;0;52.0;S
626;627;0;3;male;19.0;0;0;7.65;S
627;628;1;1;female;38.0;0;0;227.525;C
628;629;1;2;female;27.0;0;0;10.5;S
635;636;1;1;male;27.0;1;0;53.1;S
641;642;1;1;female;29.0;0;0;211.3375;S
648;649;1;1;male;35.0;0;0;512.3292;C
652;653;0;1;male;36.0;1;0;78.85;S
653;654;1;1;female;21.0;2;2;262.375;C
656;657;0;1;male;70.0;1;1;71.0;S
659;660;0;1;male;19.0;1;0;53.1;S
662;663;1;3;male;6.0;0;1;12.475;S
670;671;1;1;female;33.0;0;0;86.5;S
674;675;1;1;female;36.0;1;2;120.0;S
676;677;1;1;female;51.0;1;0;77.9583;S
683;684;0;2;female;57.0;0;0;10.5;S
690;691;1;1;female;43.0;0;1;211.3375;S
692;693;1;1;female;17.0;1;0;57.0;S
693;694;0;1;male;29.0;0;0;30.0;S
700;701;0;1;male;46.0;0;0;79.2;C
707;708;1;1;female;49.0;0;0;25.9292;S
713;714;1;1;male;11.0;1;2;120.0;S
717;718;0;1;male;39.0;0;0;0.0;S
720;721;1;1;female;33.0;1;0;53.1;S
731;732;1;1;female;52.0;1;1;93.5;S
734;735;1;3;female;27.0;0;1;12.475;S
746;747;1;1;female;39.0;1;1;83.1583;C
764;765;1;1;female;16.0;0;1;39.4;S
768;769;1;1;male;51.0;0;0;26.55;S
773;774;1;1;female;48.0;0;0;25.9292;S
778;779;0;1;male;31.0;0;0;50.4958;S
782;783;1;1;female;47.0;1;1;52.5542;S
783;784;0;1;male;33.0;0;0;5.0;S
790;791;1;1;female;56.0;0;1;83.1583;C
798;799;1;1;female;19.0;0;0;30.0;S
800;801;1;1;male;26.0;0;0;30.0;C
